,Buy to Cover,4/27/15 10:00,Stop Loss,@CL,$67.54 ,,($430.00),"$21,909.86 ",,($430.00),0.00%,-81.13%,$0.19 ,$10.00 
54,Sell Short,4/27/15 15:00, Sell ,@CL,$66.98 ,$0.00 ,1,($0.38),0.03%,$620.00 ,63.92%,,$0.19 ,$10.00 
,Buy to Cover,4/28/15 6:00,Exit Short,@CL,$66.96 ,,$20.00 ,"$21,909.48 ",,($350.00),38.14%,2.06%,$0.19 ,$10.00 
55,Buy,4/29/15 11:00, Buy ,@CL,$67.59 ,$0.00 ,1,"$1,069.62 ",1.61%,"$2,030.00 ",93.98%,,$0.19 ,$10.00 
,Sell,4/29/15 16:00,Exit Long,@CL,$68.68 ,,"$1,090.00 ","$22,979.10 ",,($130.00),56.48%,50.46%,$0.19 ,$10.00 
56,Sell Short,5/4/15 12:00, Sell ,@CL,$68.92 ,$0.00 ,1,($690.38),-0.97%,$20.00 ,2.90%,,$0.19 ,$10.00 
,Buy to Cover,5/5/15 5:00,Stop Loss,@CL,$69.59 ,,($670.00),"$22,288.72 ",,($670.00),0.00%,-97.10%,$0.19 ,$10.00 
57,Buy,5/12/15 6:00, Buy ,@CL,$70.01 ,$0.00 ,1,($20.38),0.00%,$830.00 ,77.57%,,$0.19 ,$10.00 
,Sell,5/12/15 11:00,Exit Long,@CL,$70.01 ,,$0.00 ,"$22,268.34 ",,($240.00),22.43%,0.00%,$0.19 ,$10.00 
58,Sell Short,5/18/15 11:00, Sell ,@CL,$69.91 ,$0.00 ,1,"$1,999.62 ",2.89%,"$2,650.00 ",92.01%,,$0.19 ,$10.00 
,Buy to Cover,5/20/15 0:00,Exit Short,@CL,$67.89 ,,"$2,020.00 ","$24,267.96 ",,($230.00),78.13%,70.14%,$0.19 ,$10.00 
59,Sell Short,5/26/15 6:00, Sell ,@CL,$68.60 ,$0.00 ,1,$929.62 ,1.38%,"$1,560.00 ",87.15%,,$0.19 ,$10.00 
,Buy to Cover,5/26/15 19:00,Exit Short,@CL,$67.65 ,,$950.00 ,"$25,197.58 ",,($230.00),65.92%,53.07%,$0.19 ,$10.00 
